atletas.nome;atletas.atleta_id;atletas.rodada_id;atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.media_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;resultado.partida;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
Aderbar Melo dos Santos Neto;69012;28;gol;Provável ;4.5;10.42;4.65;Atlético-PR;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;bom
Marcelo Cirino da Silva;69022;28;ata;Provável ;-1.2;7.02;4.21;Atlético-PR;4;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;bom
Maycon Vinícius Ferreira da Cruz;69705;28;mei;Provável ;6.5;13.32;3.5;Atlético-PR;0;4;1;1;0;0;2;1;2;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;exelente
Luis Oscar González;71479;28;mei;Provável ;-3.4;4.24;1.09;Atlético-PR;3;0;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Leonardo Pereira;83528;28;zag;Provável ;-2.6;2.75;2.85;Atlético-PR;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Ronielson da Silva Barbosa;91607;28;ata;Dúvida;1.0;7.35;2.46;Atlético-PR;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Diego Ferreira Matheus;91783;28;lat;Dúvida;-0.5;4.79;6.8;Atlético-PR;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;exelente
Raphael Cavalcante Veiga;94509;28;mei;Provável ;-1.3;7.78;3.29;Atlético-PR;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;bom
Marcio Antonio de Sousa Júnior;95332;28;ata;Dúvida;1.3;4.47;3.19;Atlético-PR;1;1;1;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;ruim
Renan Augusto Lodi dos Santos;96591;28;lat;Provável ;2.9;5.12;3.88;Atlético-PR;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;exelente
Tiago Retzlaff Nunes;98057;28;tec;Provável ;0.37;10.98;4.44;Atlético-PR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Santos ;1 x 0;Chapecoense ;11.13;casa;bom
Nilton Ferreira Júnior;38573;28;mei;Provável;0.0;6.0;3.37;Bahia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;bom
Bruno Vieira do Nascimento;42499;28;lat;Provável;7.8;4.43;1.95;Bahia;2;0;0;1;0;0;3;0;4;0;1;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Gilberto Oliveira Souza Júnior;61188;28;ata;Dúvida;5.3;12.83;6.55;Bahia;2;2;1;5;0;0;1;0;3;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Enderson Alves Moreira;62137;28;tec;Provável;4.82;10.55;3.54;Bahia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
José  ÉlberPimentel da Silva;74140;28;mei;Provável;2.9;9.01;3.62;Bahia;0;1;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;exelente
Edigar Junio Teixeira Lima;74271;28;ata;Dúvida;0.0;7.34;2.91;Bahia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Douglas Ricardo Grolli;78407;28;zag;Provável;2.0;2.65;1.59;Bahia;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Douglas Alan Schuck Friedrich;78584;28;gol;Provável;0.0;3.73;1.41;Bahia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;bom
Lucas Fonseca da Silva;80189;28;zag;Provável;10.7;6.7;2.49;Bahia;1;0;0;1;0;0;4;0;1;0;1;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
José Rafael Vivian;82455;28;mei;Provável;6.3;19.58;6.92;Bahia;1;0;2;2;0;0;3;0;1;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;exelente
Leonardo Pinheiro da Conceição;85626;28;lat;Provável;6.7;8.9;3.17;Bahia;0;0;1;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Gregore de Magalhães da Silva;95464;28;mei;Provável;1.0;7.21;2.89;Bahia;3;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Eric dos Santos Rodrigues;103295;28;mei;Provável;1.3;4.45;3.56;Bahia;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;empate ;Flamengo ;0 x 0;Grêmio ;74.07;fora;ruim
Luis Ricardo Silva Umbelino;55348;28;lat;Provável;0.0;3.58;2.01;Botafogo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Welker Marçal de Almeida;68930;28;ata;Provável;8.7;8.07;4.6;Botafogo;3;0;0;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Rodrigo Oliveira Lindoso;72362;28;mei;Provável;7.4;9.42;4.71;Botafogo;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Erik Nascimento Lima;84848;28;ata;Provável;3.5;3.06;2.66;Botafogo;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;1 x 1;Vasco ;23.56;casa;ruim
Saulo Ferreira Silva Nascimento;89492;28;gol;Provável;8.5;2.56;2.43;Botafogo;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Igor Rabello da Costa;89493;28;zag;Provável;3.1;11.12;3.34;Botafogo;1;0;1;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;bom
Moisés Roberto Barbosa;90444;28;lat;Provável;0.4;7.85;3.56;Botafogo;2;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Luiz Fernando Moraes dos Santos;90715;28;mei;Provável;1.0;6.07;2.4;Botafogo;2;1;0;2;0;1;1;0;4;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;exelente
Mauro Joel Carli;93414;28;zag;Provável;0.2;3.51;1.37;Botafogo;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Matheus Fernandes Siqueira;94067;28;mei;Provável;7.2;14.97;4.85;Botafogo;1;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;exelente
José Ricardo Mannarino;95780;28;tec;Provável;4.87;8.96;3.28;Botafogo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Gustavo Costa da Silva Machado;95798;28;mei;Provável;2.8;4.31;2.89;Botafogo;2;1;0;2;0;0;3;1;3;0;0;0;0;0;0;0;0;0;sim;empate ;São Paulo ;2 x 2;Vasco ;23.56;casa;ruim
Edimo Ferreira Campos;37792;28;mei;Provável;-0.8;2.7;0.31;Ceará;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Tiago dos Santos Alves;51495;28;zag;Provável;0.0;5.27;4.01;Ceará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Pedro Julião Azevedo Junior;71787;28;ata;Provável;5.1;6.0;4.56;Ceará;2;2;0;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Anderson Felipe Marques Pires;72294;28;gol;Provável;-2.6;10.89;5.87;Ceará;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Luiz Carlos Cirne Lima de Lorenzi;72588;28;tec;Provável;4.9;8.42;4.22;Ceará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Samuel xavier Brito;73384;28;lat;Provável;15.7;7.6;5.1;Ceará;1;0;1;3;0;0;3;0;2;2;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Eduardo Schroeder Brock;78654;28;zag;Provável;0.0;5.26;3.68;Ceará;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Calyson Rubens Santiago Rosa;82630;28;mei;Provável;1.0;2.52;1.77;Ceará;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Richardson Fernandes dos Santos;86536;28;mei;Provável;5.4;7.42;3.44;Ceará;2;0;1;1;0;0;4;0;3;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Leandro Carvalho da Silva;88669;28;ata;Provável;9.0;6.98;4.23;Ceará;2;0;1;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Arthur Mendonça  Cabral;92171;28;ata;Provável;11.6;6.13;2.13;Ceará;3;2;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Felipe Jonatan Rocha Andrade;101708;28;lat;Provável;5.9;2.29;4.4;Ceará;1;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;sim;vitoria ;Chapecoense ;3 x 1;Cruzeiro;-1.64;fora;ruim
Augusto Sérgio Ferreira;37245;28;tec;Provável;0.93;8.85;3.33;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;bom
William José de Souza;42232;28;mei;Provável;0.0;4.48;1.73;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Alan Luciano Ruschel;63110;28;mei;Provável;0.0;3.84;1.37;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Douglas Silva Bacelar;63128;28;zag;Provável;0.0;8.42;2.98;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;bom
Vinicius Santos Silva;68917;28;ata;Provável;-0.8;2.74;0.54;Chapecoense;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Leandro Marcos Pereira;78968;28;ata;Provável;1.8;6.63;3.58;Chapecoense;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Rafael Thyere Albuquerque Marques;83048;28;zag;Provável;-1.6;4.53;2.37;Chapecoense;1;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Jandrei Chitolina Carniel;86508;28;gol;Provável;-7.2;6.44;1.44;Chapecoense;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;exelente
Gustavo Bonatto Barreto;89224;28;mei;Provável;0.0;1.52;-0.74;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;bom
Marcos Vinícius  da Silva Santos;97969;28;lat;Provável;0.0;2.0;0.0;Chapecoense;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Diego Fabián Torres;98794;28;mei;Provável;-0.4;5.63;2.27;Chapecoense;4;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;ruim
Agustín Doffo;102894;28;mei;Provável;10.3;4.4;4.49;Chapecoense;2;0;0;3;1;0;2;0;4;0;0;0;0;0;0;0;0;0;sim;derrota;Ceará ;1 x 3;Atlético-MG;72.33;casa;bom
Danilo Gabriel de Andrade;38067;28;mei;Provável;0.0;2.65;0.63;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Jonathas Cristian de Jesus;42138;28;ata;Provável;0.0;5.68;2.72;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Walter Leandro Capeloza Artune;51413;28;gol;Provável;0.0;7.69;5.47;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Márcio Passos de Albuquerque;68744;28;ata;Provável;0.0;6.19;1.97;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Marllon Gonçalves Jerónimo Borges;70666;28;zag;Provável;0.0;6.01;2.7;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Pedro Henrique Ribeiro Gonçalves;87225;28;zag;Provável;0.0;5.97;2.55;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Jair Ventura;92180;28;tec;Provável;5.4;10.15;3.49;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Douglas Augusto Soares Gomes;92497;28;mei;Provável;0.0;5.37;3.08;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;bom
Guilherme Mantuan;97315;28;lat;Provável;0.0;5.11;3.76;Corinthians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Pedro Victor Delmino da Silva;98706;28;mei;Provável;2.3;4.05;2.16;Corinthians;1;0;4;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;sim;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Carlos Augusto Zopalato Neves;101803;28;lat;Provável;12.5;3.37;7.57;Corinthians;0;0;0;1;0;1;5;0;0;0;1;0;0;0;0;0;0;0;sim;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Thiago Beserra dos Santos;102599;28;mei;Provável;-0.3;2.22;0.7;Corinthians;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;empate ;América-MG ;0 x 0;Flamengo ;48.44;casa;ruim
Luis Antônio Venker de Menezes;37281;28;tec;Provável;-0.14;10.54;3.62;Cruzeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Henrique Pacheco de Lima;37694;28;mei;Provável;0.0;7.97;2.14;Cruzeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Rafael da Silva Francisco;38421;28;mei;Provável;0.0;7.53;2.45;Cruzeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Leonardo Renan Simões de Lacerda;50459;28;zag;Provável;-3.5;7.17;2.67;Cruzeiro;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Rafael Pires Monteiro;68928;28;gol;Provável;-6.0;5.43;5.6;Cruzeiro;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Manoel Messias Silva Carvalho;69014;28;zag;Provável;-2.4;4.09;2.69;Cruzeiro;2;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Federico Mancuello;71066;28;mei;Provável;6.2;4.03;1.62;Cruzeiro;1;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Ezequiel Jacinto de Biasi;80318;28;lat;Provável;0.1;3.65;2.13;Cruzeiro;1;0;0;1;0;0;2;1;3;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Alejandro Ariel Cabral;80363;28;mei;Provável;6.9;5.49;2.29;Cruzeiro;2;0;0;2;0;0;5;0;2;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
Marcelo Hermes;82639;28;lat;Provável;-4.3;3.26;1.94;Cruzeiro;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;sim;derrota ;Palmeiras ;1 x 3;Ceará ;58.8;casa;ruim
